Industry (From List),Representative ETF,Ticker
Security & Protection Services,Industrials Select Sector SPDR,XLI
Semiconductor Equipment & Materials,VanEck Semiconductor ETF,SMH
Semiconductors,VanEck Semiconductor ETF,SMH
Software - Application,iShares Expanded Tech-Software Sector ETF,IGV
Software - Infrastructure,iShares Expanded Tech-Software Sector ETF,IGV
Solar,Invesco Solar ETF,TAN
Specialty Business Services,Industrials Select Sector SPDR,XLI
Specialty Chemicals,Materials Select Sector SPDR,XLB
Specialty Industrial Machinery,Industrials Select Sector SPDR,XLI
Specialty Retail,SPDR S&P Retail ETF,XRT
Staffing & Employment Services,Industrials Select Sector SPDR,XLI
Steel,VanEck Steel ETF,SLX
Telecom Services,SPDR S&P Telecom ETF,XTL
Textile Manufacturing,Consumer Discretionary Select Sector SPDR,XLY
Thermal Coal,SPDR S&P Metals & Mining ETF,XME
Tobacco,Consumer Staples Select Sector SPDR,XLP
Tools & Accessories,Industrials Select Sector SPDR,XLI
Travel Services,ETFMG Travel Tech ETF,AWAY
Trucking,iShares Transportation Average ETF,IYT
Utilities - Diversified,Utilities Select Sector SPDR,XLU
Utilities - Ind. Power Producers,Utilities Select Sector SPDR,XLU
Utilities - Regulated Electric,Utilities Select Sector SPDR,XLU
Utilities - Regulated Gas,Utilities Select Sector SPDR,XLU
Utilities - Regulated Water,Invesco S&P Global Water Index ETF,CGW
Utilities - Renewable,iShares Global Clean Energy ETF,ICLN
Waste Management,VanEck Environmental Services ETF,EVX
